id,name_it,name_en,name_fr,name_es,slug,icon,sort_order,active
6,MOTORIDUTTORI,AUGER MOTORS,MOTORÉDUCTEURS,"MOTORES  SINFIN ",motoriduttori,Cog,0,true
7,VENTILATORI FUMI,SMOKE FANS,VENTILATEURS DES FUMÉES,VENTILADORES HUMOS,ventilatori-fumi,Wind,1,true
8,VENTILATORI ARIA,AIR FANS,VENTILATEURS AIR,VENTILADORES AIRE,ventilatori-aria,Fan,2,true
9,RESISTENZE ACCENSIONE,SPARK PLUGS,BOUGIES D'ALLUMAGE,RESISTENCIAS ENCENDIDO,resistenze-accensione,Zap,3,true
10,DISPLAY E TELECOMANDI,DISPLAY AND REMOTE CONTROLS,ÉCRANS ET TÉLÉCOMMANDES,PANTALLA Y MANDOS,display-cavi-telecomandi,Monitor,4,true
11,SCHEDE ELETTRONICHE E SENSORI,MOTHERBOARDS AND SENSORS,CARTES MÈRES,TARJETAS ELECTRÒNICAS Y SENSORES,schede-elettroniche-sensori,Cpu,5,true
12,BRACIERI E CAMERE COMBUSTIONE,BRAZIERS,BRASEROS,BRASEROS,bracieri-camere-combustione,Flame,6,true
13,SONDE - DEPRESSORI - TERMOSTATI,PROBES - PRESSURE SWITCHES - THERMOSTATS,CAPTEURS - DEPRESSIOMÈTRES - THERMOSTATS,SONDAS  - DEPRESORES - TERMOSTATOS,sonde-depressori-termostati,Thermometer,7,true
14,GUARNIZIONI E SILICONE ALTA TEMP.,GASKETS,JOINTS,GUARNICIONES,guarnizioni-silicone,CircleDot,8,true
16,COCLEE,AUGER,VIS SANS FIN,SINFIN,coclee,RotateCw,9,true
17,STUFE A PELLET,PELLET STOVE,POELE A GRANULE,ESTUFAS A PELLET,stufe-a-pellet,Home,10,true
18,PORTA PELLET E ASPIRACENERE,PELLET HOLDER AND VACUUM CLEANER,PORTE-GRANULÈS E ET ASPIRATEUR,PORTA PELLET Y ASPIRADOR,porta-pellet-aspiracenere,Package,11,true
19,POMPE E SENSORI,PUMPS AND SENSORS,POMPES ET CAPTEURS,BOMBAS Y SENSORES,pompe-sensori,Gauge,12,true
20,ACCESSORI,ACCESSORIES,ACCESSOIRES,ACCESORES,accessori,Wrench,13,true
