id,category_id,sku,ean13,name_it,name_en,name_fr,name_es,description_it,description_en,description_fr,description_es,description_short_it,description_short_en,description_short_fr,description_short_es,slug,price,wholesale_price,weight,width,height,depth,stock_quantity,active,brand,meta_title,meta_description,meta_keywords,image_url,created_at,updated_at,search_vector
10,6,NULL,NULL,MOTORIDUTTORE MELLOR T14 – 5 RPM,MELLOR T14 AUGER MOTOR– 5 RPM,MOTORÉDUCTEUR MELLOR T14 – 5 RPM,MOTOR SINFIN MELLOR T14 – 5 RPM,"Pacco magnetico: 32 mm
Può sostituire il Kenta
Rot. oraria","Hollow shaft without spindle.
Magnetic pack: 32mm
Can replace the Kenta.
Clockwise rotation.","Arbre creux sans groupille.
Tôles magnétiques: 32mm
Peut remplacer le Kenta.
Rot. horaire",,"Albero cavo senza perno

Pacco magnetico: 32 mm
Può sostituire il Kenta
Rot. oraria","Hollow shaft without spindle.
Magnetic pack: 32mm
Can replace the Kenta.
Clockwise rotation.","Arbre creux sans groupille.
Tôles magnétiques: 32mm
Peut remplacer le Kenta
Rot. horaire","Arbol sin perno

paque magnetico: 32 mm

Puede substituir el kenta

Rotaciòn horaria",motoriduttore-mellor-t14-5-rpm,140.00,29.67,,,,,0,true,,Motoriduttore Mellor,"Motoriduttore Mellor, albero cavo senza perno",,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-mellor-t14-5-rpm-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:35.747367+00,"'32':13B,23C '5':4A 'alber':7B 'cav':8B 'kent':18B,28C 'magnet':12B,22C 'mellor':2A 'mm':14B,24C 'motoriduttor':1A 'null':6A 'orar':20B,30C 'pacc':11B,21C 'pern':10B 'può':15B,25C 'rot':19B,29C 'rpm':5A 'senz':9B 'sostitu':16B,26C 't14':3A"
11,6,NULL,NULL,"MOTORE COCLEA  PER STUFE A PELLET 1,26 RPM","AUGER MOTOR FOR PELLET STOVES 1.26 RPM ",MOTORÉDUCTEUR POUR POÊLE À PELLET - MELLOR,MOTOREDUCTOR PARA ESTUFAS DE PELLET MELLOR,,,"Diamètre de la goupille:  8,5 mm 1,26 rpm",,"MOTORE COCLEA  PER STUFE A PELLET 1,26 RPM

Diametro perno 9,5 mm 

MELLOR","AUGER MOTOR FOR PELLET STOVES 1.26 RPM
 Pin diameter 9.5 mm
MELLOR","Diamètre de la goupille: 9,5 mm 1,26 rpm","Diametro arbol 9,5 mm 1,26 rpm

MELLOR",motoriduttore-per-stufe-a-pellet-mellor,130.78,27.95,,,,,0,true,,motoriduttore per stufe a pellet,motoriduttore per stufe a pellet mellor,,https://www.ricambixstufe.it/ricambixstufe/489-home_default/motoriduttore-per-stufe-a-pellet-mellor.jpg,2026-03-27 11:34:24.346804+00,2026-03-27 11:34:24.346804+00,"'1':7A,17B '26':8A,18B '5':23B '9':22B 'cocle':2A,12B 'diametr':20B 'mellor':25B 'mm':24B 'motor':1A,11B 'null':10A 'pellet':6A,16B 'pern':21B 'rpm':9A,19B 'stuf':4A,14B"
12,6,NULL,NULL,MOTORE COCLEA  PER STUFE A PELLET 2 RPM," AUGER MOTOR FOR PELLET STOVES 2 RPM  ",MOTORÉDUCTEUR POUR POÊLE À PELLET - MELLOR 2 RPM,MOTOREDUCTOR PARA ESTUFAS DE PELLETS MELLOR 2RPM,,"Pivot's diameter: 8,5 mm 2 rpm","Diamètre de la goupille: 8,5 mm 2 rpm",,"MOTORE COCLEA  PER STUFE A PELLET 2 RPM

Diametro perno 9,5 mm 

MELLOR","AUGER MOTOR FOR PELLET STOVES 2 RPM

 Pin diameter 9.5 mm

MELLOR","Diamètre de la goupille: 9,5 mm 2 rpm","Diametro arbol 9,5 mm 2 rpm

MELLOR",motoriduttore-per-stufe-a-pellet-mellor-2,130.78,29.81,,,,,0,true,,motoriduttore per stufe a pellet,motoriduttore per stufe a pellet mellor,,https://www.ricambixstufe.it/ricambixstufe/491-home_default/motoriduttore-per-stufe-a-pellet-mellor-2.jpg,2026-03-27 11:34:24.346804+00,2026-03-27 11:34:24.346804+00,"'2':7A,16B '5':21B '9':20B 'cocle':2A,11B 'diametr':18B 'mellor':23B 'mm':22B 'motor':1A,10B 'null':9A 'pellet':6A,15B 'pern':19B 'rpm':8A,17B 'stuf':4A,13B"
13,6,NULL,NULL,MOTORE COCLEA  PER STUFE A PELLET 3 RPM," AUGER MOTOR FOR PELLET STOVES 3 RPM  ",MOTORÉDUCTEUR POUR POÊLE À PELLET - MELLOR 3 RPM,MOTORREDUCTOR PARA ESTUFAS DE PELLETS MELLOR 3 RPM,,"Pivot's diameter: 8,5 mm 3 rpm","Diamètre de la goupille: 8,5 mm 3 rpm",,"MOTORE COCLEA  PER STUFE A PELLET 3 RPM

Diametro perno 8,5 mm 

MELLOR","AUGER MOTOR FOR PELLET STOVES 3 RPM  

Pin diameter 8.5 mm

MELLOR","Diamètre de la goupille: 9,5 mm 3 rpm","Diametro arbol 8,5 mm 3 RPM

MELLOR",motoriduttore-per-stufe-a-pellet-mellor-3,137.74,31.60,,,,,0,true,,motoriduttore per stufe a pellet,motoriduttore per stufe a pellet mellor,,https://www.ricambixstufe.it/ricambixstufe/493-home_default/motoriduttore-per-stufe-a-pellet-mellor-3.jpg,2026-03-27 11:34:24.346804+00,2026-03-27 11:34:24.346804+00,"'3':7A,16B '5':21B '8':20B 'cocle':2A,11B 'diametr':18B 'mellor':23B 'mm':22B 'motor':1A,10B 'null':9A 'pellet':6A,15B 'pern':19B 'rpm':8A,17B 'stuf':4A,13B"
14,6,NULL,NULL,MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM,MELLOR AUGER MOTOR FOR PELLET STOVES 4 RPM,MOTORÉDUCTEUR POUR POÊLE À PELLET - MELLOR 4 RPM,MOTORREDUCTOR PARA ESTUFAS DE PELLETS MELLOR 4 RPM,"Pivot's diameter: 8,5 mm 4 rpm",,"Diamètre de la goupille: 8,5 mm 4 rpm",,"Diametro perno 8,5 mm 4 rpm","Pivot's diameter: 9,5 mm 4 rpm","Diamètre de la goupille: 9,5 mm 4 rpm","Diametro arbol 9,5 mm 4RPM

MELLOR",motoriduttore-per-stufe-a-pellet-mellor-4,137.74,31.60,,,,,0,true,,motoriduttore per stufe a pellet,motoriduttore per stufe a pellet mellor,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-4-rpm.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:36.128919+00,"'4':7A,15B,23C '5':13B,21C '8':12B,20C 'diameter':19C 'diametr':10B 'mellor':6A 'mm':14B,22C 'motoriduttor':1A 'null':9A 'pellet':5A 'pern':11B 'pivot':17C 'rpm':8A,16B,24C 's':18C 'stuf':3A"
15,7,NULL,NULL,VENTILATORE FUMI CON ENCODER,SMOKES FAN WITH RPM CONTROL,VENTILATEUR FUMÉES AVEC LE CONTRÔLE GIRI,VENTILADOR HUMOS CON CONTROL DE VELOCIDAD,,,,,"PUO' SOSTITUIRE EBM
230V 50Hz 32W 2400 G/MIN
øVent.15cm
øTot. 17cm

MARCA: ITC","IT CAN REPLACE EBM
230V 50Hz 32W 2400 RPM
øVent.15cm
øTot. 17cm","IL PEUT REMPLACER EBM
230V 50Hz 32W 2400 RPM
øVent.15cm
øTot. 17cm","PUEDE REEMPLAZAR EBM
230V 50 Hz 32W 2400 G/MIN
øVent.15cm
øTot. 17cm
MARCA: ITC",ventilatore-fumi-ebm-senza-encoder,158.93,,,,,,0,true,,ventilatore-fumi-ebm-senza-encoder,ventilatore-fumi-ebm-senza-encoder,,https://www.ricambixstufe.it/ricambixstufe/368-home_default/ventilatore-fumi-ebm-senza-encoder.jpg,2026-03-27 11:34:24.346804+00,2026-03-27 11:34:24.346804+00,'15cm':15B '17cm':17B '230v':9B '2400':12B '32w':11B '50hz':10B 'ebm':8B 'encoder':4A 'fum':2A 'g/min':13B 'itc':19B 'marc':18B 'null':5A 'puo':6B 'sostitu':7B 'ventil':1A 'øtot':16B 'øvent':14B
16,7,NULL,NULL,VENTILATORE FUMI EBMPAPST CON ENCODER,EBM SMOKES FAN,VENTILATEUR FUMÉES EBM,VENTILADOR HUMOS EBM,,,,,"230V 50Hz 47W
øVent.15 cm
øTot. 17 cm

MARCA: EBM","230V 50Hz 47W
øVent.15 cm
øTot. 17 cm","230V 50Hz 47W
øVent.15 cm
øTot. 17 cm","230V 50Hz 47W
øVent.15 cm
øTot. 17 cm

MARCA: EBM",ventilatore-fumi-ebmpapst-con-encoder,115.90,30.00,,,,,0,true,,ventilatore-fumi-ebmpapst-con-encoder,ventilatore-fumi-ebmpapst-con-encoder,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-fumi/ventilatore-fumi-ebmpapst-con-encoder-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:36.330912+00,"'15':11B '17':14B '230v':7B '47w':9B '50hz':8B 'cm':12B,15B 'ebm':17B 'ebmpapst':3A 'encoder':5A 'fum':2A 'marc':16B 'null':6A 'ventil':1A 'øtot':13B 'øvent':10B"
17,8,NULL,NULL,VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET,CENTRIFUGAL AIR FAN FOR PELLET STOVES,VENTILATEUR AIR CENTRIFUGE POUR POELE A GRANULES,VENTILADOR AIRE CENTRIFUGO PARA ESTUFAS DE PELLET,,,,,"TRIAL D2E120-AA01-04
230V 50/60hz 0,38/0,43A 85/95W 1400/1300 G/Min
DIM.BOCCA USCITA ARIA 6cm X 14,5cm","EBMPAPST D2E120-AA01-04
230V 50/60hz 0,38/0,43A 85/95W 1400/1300 RPM
OUTPUT AIR MOUTH DIMENSIONS 6cm X 14,5cm","EBMPAPST D2E120-AA01-04
230V 50/60hz 0,38/0,43A 85/95W 1400/1300 RPM
DIMENSIONS DE L'EMBOUCHURE DE LA SORTIE DE L'AIR 6cm X 14,5cm","EBMPAPST D2E120-AA01-04
230V 50/60hz 0,38/0,43A 85/95W 1400/1300 G/Min
DIM.BOCA SALIDA AIRE 6cm X 14,5cm",ventilatore-aria-centrifugo-per-stufa-a-pellet,186.66,,,,,,0,true,,Ventilatore aria per stufe a pellet,Ventilatore aria centrifugo per stufe a pellet,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-per-stufa-a-pellet-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:36.638181+00,"'0':16B '04':13B '14':27B '1400/1300':20B '230v':14B '38/0':17B '43a':18B '50/60hz':15B '5cm':28B '6cm':25B '85/95w':19B 'aa01':12B 'ari':2A,24B 'centrifug':3A 'd2e120':11B 'd2e120-aa01':10B 'dim.bocca':22B 'g/min':21B 'null':8A 'pellet':7A 'stuf':5A 'trial':9B 'uscit':23B 'ventil':1A 'x':26B"
18,8,NULL,NULL,VENTILATORE TANGENZIALE GRANDE DX,"BIG TANGENTIAL RIGHT FAN ",VENTILATEUR TANGENTIEL GRAND DROIT,VENTILADOR TANGENCIAL GRANDE DX,,,,,"FERGAS COD.158202
230V 50hz 77W

BOCCA  28 CM","EMMEVI COD.158202
230V 50hz 77W","FERGAS COD.158202
230V 50hz 77W

Bouche: 28 cm","FERGAS COD.158202
230V 50hz 77W

BOCA  28 CM",ventilatore-tangenziale-grande,207.16,30.36,,,,,0,true,,Ventilatore aria per stufe a pellet,Ventilatore tangenziale per stufe a pellet,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-grande-dx-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:36.947176+00,'230v':8B '28':12B '50hz':9B '77w':10B 'bocc':11B 'cm':13B 'cod.158202':7B 'dx':4A 'fergas':6B 'grand':3A 'null':5A 'tangenzial':2A 'ventil':1A
19,8,NULL,NULL,VENTILATORE TANGENZIALE PICCOLO,SMALL TANGENTIAL FAN,PETIT VENTILATEUR TANGENTIEL,VENTILADOR TANGENCIAL PEQUEÑO,,,,,"TRIAL 8A123B-008
8FA024-S2-G2-T90°
230V 50/60hz

Bocca da 23 cm","TRIAL 8A123B-008
8FA024-S2-G2-T90°
230V 50/60hz","TRIAL 8A123B-008
8FA024-S2-G2-T90°
230V 50/60hz","TRIAL 8A123B-008
8FA024-S2-G2-T90°
230V 50/60hz

Boca da 23 cm",ventilatore-tangenziale-piccolo,128.10,31.40,,,,,0,true,,Ventilatore aria per stufe a pellet,Ventilatore tangenziale per stufe a pellet,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-tangenziale-piccolo-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:37.236275+00,'-008':7B '23':17B '230v':13B '50/60hz':14B '8a123b':6B '8fa024':9B '8fa024-s2-g2-t90':8B 'bocc':15B 'cm':18B 'g2':11B 'null':4A 'piccol':3A 's2':10B 't90':12B 'tangenzial':2A 'trial':5B 'ventil':1A
